City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Neyshabur,IR,83.26,few clouds,36.2133,58.7958,Amiran Hotel & Commercial Complex
1,Jamestown,US,83.95,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Sarai Alamgir,PK,84.85,scattered clouds,32.9012,73.7559,Tulip Riverside Hotel And Restaurant Jehlum
10,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Central
13,Pontian Kecil,MY,79.12,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
15,Bamako,ML,86.41,light rain,12.65,-8.0,Hôtel l’Amitié Bamako
20,Lipin Bor,RU,75.18,clear sky,60.2622,37.9763,Priozor'ye
21,Castanos,MX,83.34,clear sky,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
25,Atuona,PF,76.59,broken clouds,-9.8,-139.0333,Villa Enata
27,Shubarkuduk,KZ,79.27,broken clouds,49.1447,56.4872,Sirius
28,Vaini,TO,75.36,overcast clouds,-21.2,-175.2,Keleti Beach Resort
30,Hilo,US,77.29,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
37,Yining,CN,79.12,clear sky,29.0361,114.5636,Xiushui Hotel
40,Lae,PG,75.51,broken clouds,-6.7221,146.9847,Phils Hotel
43,Kavieng,PG,80.89,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
45,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
47,Kota Kinabalu,MY,75.18,light rain,5.9749,116.0724,Gaya Centre Hotel
54,Tecoanapa,MX,83.95,few clouds,16.5167,-98.75,Hotel Manglares
55,Hershey,US,84.06,clear sky,40.2859,-76.6503,Days Inn by Wyndham Hershey
60,Rawlins,US,80.49,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
63,Gizo,SB,81.37,scattered clouds,-8.103,156.8419,Imagination Island
64,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
69,Kunashak,RU,79.32,clear sky,55.7032,61.5498,Gostinitsa Kunashak
70,Lubawa,PL,87.4,broken clouds,53.5043,19.7497,Hotel dla psów Jamajka
76,Palencia,ES,86.92,scattered clouds,42.4167,-4.5,Hotel Area de Servicio Los Chopos
77,Skiathos,GR,85.96,clear sky,39.1623,23.4909,BOURTZI HOTEL
78,Yanam,IN,77.23,overcast clouds,16.7333,82.2167,The Regency Hotel
79,Golden,US,89.1,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
84,Jizan,SA,85.14,light rain,17.3333,42.6667,شهدان. ابوالحجر
86,Aden,YE,86.77,clear sky,12.7794,45.0367,Sama Emirate Hotel
88,Yuksekova,TR,89.35,few clouds,37.5736,44.2872,Hotel Grand Yılmaz
94,Xuddur,SO,82.02,scattered clouds,4.1213,43.8894,Banjanay Hotel
96,Iralaya,HN,82.56,overcast clouds,15.0,-83.2333,Iglesia morava renovada
97,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,Tanna Lodge
100,Tanggu,CN,89.56,clear sky,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
104,Axim,GH,78.44,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
106,Dingle,PH,75.61,light rain,10.9995,122.6711,SEGAYA PROPERTY
107,Uchiza,PE,83.48,broken clouds,-8.4592,-76.4633,Hotel San Pedro
108,Muros,ES,83.16,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
109,Sorong,ID,79.74,light rain,-0.8833,131.25,Waigo Splash Hotel
111,Warri,NG,81.19,overcast clouds,5.5167,5.75,GT Guesthouse
113,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
117,Faanui,PF,77.81,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Pontivy,FR,75.04,few clouds,48.0,-3.0,Frairie du Divit - Chambres d'hôtes à Pontivy dans le Morbihan (small hotel near Pontivy)
121,Sagua La Grande,CU,85.19,few clouds,22.8067,-80.0756,Hotel Telégrafo
125,Bull Savanna,JM,86.25,broken clouds,17.8868,-77.5902,Big Red's
126,San Marcos,US,81.97,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
129,Torbay,CA,86.88,scattered clouds,47.6666,-52.7314,Gallows Cove
130,Natal,BR,86.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
131,Bandarbeyla,SO,76.89,clear sky,9.4942,50.8122,JABIR HOTEL
135,Sao Filipe,CV,77.77,broken clouds,14.8961,-24.4956,Hotel Xaguate
138,Wlodawa,PL,85.95,few clouds,51.55,23.55,Ośrodek Wypoczynkowy Ranczo
140,Ratnagiri,IN,78.91,light rain,16.9833,73.3,Hotel Landmark
143,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
146,Touros,BR,82.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
149,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
152,Oranjestad,AW,87.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
153,Plonsk,PL,87.84,scattered clouds,52.6235,20.3755,Hotel Martex
155,Damaturu,NG,86.85,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
157,Ouesso,CG,77.49,light rain,1.6136,16.0517,ABENIE Hotel
160,Nha Trang,VN,78.8,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
161,Hithadhoo,MV,82.56,overcast clouds,-0.6,73.0833,Scoop Guest House
163,Fukue,JP,82.8,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
166,Lewistown,US,79.18,few clouds,40.5992,-77.5714,Quality Inn & Suites
168,Muli,MV,81.97,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
169,Manggar,ID,77.85,overcast clouds,-2.8833,108.2667,Guest Hotel
171,Broome,US,82.02,clear sky,42.2506,-75.833,Chenango Valley State Park
172,Nikolskoye,RU,84.09,clear sky,59.7035,30.7861,Tourist House - Sablino
173,Finschhafen,PG,78.87,overcast clouds,-6.6024,147.8681,Cossam Guest House
174,Ostroda,PL,84.94,broken clouds,53.6967,19.9649,Hotel Willa Port
175,Sao Caetano De Odivelas,BR,88.81,scattered clouds,-0.75,-48.02,Hotel do Luttis
177,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
178,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
179,Bay City,US,77.11,broken clouds,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
180,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
181,Krasnoarmeysk,RU,75.56,overcast clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
188,Butaritari,KI,81.64,few clouds,3.0707,172.7902,Isles Sunset Lodge
193,Korcula,HR,80.76,clear sky,42.9622,17.1369,Marko Polo Hotel by Aminess
200,Bethel,US,89.15,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
201,Wanning,CN,80.62,overcast clouds,18.8003,110.3967,Paradise Hotel
202,Along,IN,76.14,scattered clouds,28.1667,94.7667,Hotel West
204,Georgetown,MY,84.13,scattered clouds,5.4112,100.3354,Cititel Penang
207,Saint Anthony,US,83.84,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
209,Lorengau,PG,79.57,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
214,Kieta,PG,78.3,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
217,Shu,KZ,79.0,overcast clouds,43.5983,73.7614,Shyngyzkhan
220,Badiraguato,MX,83.75,overcast clouds,25.3667,-107.5167,"Hotel ""Real Del Campo"""
221,Banda Aceh,ID,79.81,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
228,Kuito,AO,79.21,few clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
229,Santa Cruz Cabralia,BR,79.03,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
230,Kochi,IN,77.02,light rain,9.9399,76.2602,Trident Hotel Cochin
231,Buala,SB,78.58,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
236,Hami,CN,85.01,broken clouds,42.8,93.45,Laoyutang Resort
237,Neftegorsk,RU,76.64,broken clouds,52.802,51.166,Relaks
243,Heishan,CN,75.04,broken clouds,41.6892,122.1128,Heishan Hotel
244,Pangai,TO,76.1,light rain,-19.8,-174.35,Ha'apai Beach Resort
249,Dumas,US,84.61,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
253,Apozol,MX,77.41,scattered clouds,21.4833,-103.1,Paraíso Caxcán
254,Madang,PG,76.42,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
257,Maxixe,MZ,75.02,clear sky,-23.8597,35.3472,Oceano
