City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-08-03 15:50:35,-54.8,-68.3,35.26,93,40,2.3
1,Vaini,TO,2022-08-03 15:52:03,-21.2,-175.2,75.36,94,40,9.22
2,Mount Isa,AU,2022-08-03 15:52:04,-20.7333,139.5,62.37,67,1,0.0
3,Belmonte,BR,2022-08-03 15:52:04,-15.8631,-38.8828,77.72,59,8,7.81
4,Albany,US,2022-08-03 15:48:45,42.6001,-73.9662,83.68,53,3,1.99
5,Capao Da Canoa,BR,2022-08-03 15:51:01,-29.7456,-50.0097,64.29,89,41,12.77
6,Chokurdakh,RU,2022-08-03 15:48:21,70.6333,147.9167,49.59,62,100,1.95
7,Hithadhoo,MV,2022-08-03 15:51:58,-0.6,73.0833,81.27,73,37,15.35
8,Nikolskoye,RU,2022-08-03 15:52:05,59.7035,30.7861,75.78,62,52,3.0
9,Amqui,CA,2022-08-03 15:48:09,48.4638,-67.4313,68.47,43,12,6.17
10,Jamestown,US,2022-08-03 15:47:15,42.097,-79.2353,81.95,53,0,5.01
11,Santander,ES,2022-08-03 15:52:05,43.4647,-3.8044,74.61,88,75,7.0
12,Tabory,RU,2022-08-03 15:52:05,58.5198,64.5495,61.84,70,7,1.63
13,Busselton,AU,2022-08-03 15:52:06,-33.65,115.3333,53.89,75,85,15.64
14,Uruzgan,AF,2022-08-03 15:52:06,32.8333,66.0,82.58,16,0,8.84
15,Cherskiy,RU,2022-08-03 15:52:06,68.75,161.3,41.97,93,100,6.6
16,Cape Town,ZA,2022-08-03 15:52:05,-33.9258,18.4232,58.12,73,40,13.8
17,Sorgun,TR,2022-08-03 15:52:07,39.8101,35.186,79.47,44,13,15.55
18,Upernavik,GL,2022-08-03 15:52:07,72.7868,-56.1549,45.09,77,75,3.89
19,Bluff,NZ,2022-08-03 15:50:04,-46.6,168.3333,44.8,76,100,14.76
20,Ust-Nera,RU,2022-08-03 15:52:07,64.5667,143.2,64.6,81,99,6.08
21,Mataura,NZ,2022-08-03 15:50:16,-46.1927,168.8643,44.47,90,100,3.4
22,Saint-Maximin-La-Sainte-Baume,FR,2022-08-03 15:50:48,43.4521,5.8622,93.43,29,5,8.95
23,Kouango,CF,2022-08-03 15:52:08,4.9934,19.9619,79.97,85,40,0.11
24,Cidreira,BR,2022-08-03 15:49:26,-30.1811,-50.2056,65.44,85,86,18.84
25,Poltar,SK,2022-08-03 15:52:08,48.4309,19.7941,82.11,38,64,2.8
26,Manakara,MG,2022-08-03 15:52:09,-22.1333,48.0167,67.93,74,93,4.81
27,Rikitea,PF,2022-08-03 15:52:09,-23.1203,-134.9692,72.27,72,76,16.67
28,Krasnoselkup,RU,2022-08-03 15:52:09,65.7,82.4667,55.71,61,15,9.66
29,Ribeira Grande,PT,2022-08-03 15:52:10,38.5167,-28.7,79.2,89,40,11.5
30,Bengkulu,ID,2022-08-03 15:52:10,-3.8004,102.2655,75.74,88,100,2.95
31,Hilo,US,2022-08-03 15:48:33,19.7297,-155.09,73.27,88,0,5.01
32,Severo-Kurilsk,RU,2022-08-03 15:52:10,50.6789,156.125,51.4,87,64,7.87
33,Antofagasta,CL,2022-08-03 15:52:11,-23.65,-70.4,60.08,64,28,6.85
34,New Norfolk,AU,2022-08-03 15:52:11,-42.7826,147.0587,51.93,82,28,5.19
35,Monastyrshchina,RU,2022-08-03 15:52:11,54.3496,31.838,69.62,74,99,1.7
36,Hualmay,PE,2022-08-03 15:52:11,-11.0964,-77.6139,65.21,73,35,10.27
37,Ponta Do Sol,PT,2022-08-03 15:49:15,32.6667,-17.1,81.72,66,0,5.12
38,Salalah,OM,2022-08-03 15:52:12,17.0151,54.0924,78.28,93,93,7.72
39,Richards Bay,ZA,2022-08-03 15:52:12,-28.783,32.0377,68.59,70,100,13.91
40,Mar Del Plata,AR,2022-08-03 15:52:12,-38.0023,-57.5575,52.09,99,100,8.05
41,Waipawa,NZ,2022-08-03 15:52:13,-41.4122,175.5153,43.5,90,1,5.93
42,Port Pirie,AU,2022-08-03 15:52:13,-33.1833,138.0167,54.16,65,5,5.55
43,Mount Gambier,AU,2022-08-03 15:48:38,-37.8333,140.7667,50.63,90,60,10.78
44,Touros,BR,2022-08-03 15:52:13,-5.1989,-35.4608,83.46,60,64,10.13
45,Sur,OM,2022-08-03 15:53:05,22.5667,59.5289,89.38,62,8,5.53
46,Cabo San Lucas,MX,2022-08-03 15:53:01,22.8909,-109.9124,90.61,60,0,6.46
